Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Authorization.Core\Authorization.Core.csproj,File,Authorization.Core\Authorization.Core.csproj,,,Microsoft.AspNetCore.Identity.EntityFrameworkCore 8.0.14,,,,,"Microsoft.AspNetCore.Identity.EntityFrameworkCore, 8.0.14  Recommendation:  Remove Microsoft.AspNetCore.Identity.EntityFrameworkCore, and replace with new package Microsoft.AspNetCore.Identity.EntityFrameworkCore 9.0.12"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Authorization.Core\Authorization.Core.csproj,File,Authorization.Core\Authorization.Core.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net9.0
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Authorization.Core\Authorization.Core.csproj,File,Authorization.Core\AuthorizationManager.cs,395,16,M:System.TimeSpan.FromMinutes(System.Double),,,,,"userRoleCache.Set(                      userId, hashSet,                      new MemoryCacheEntryOptions().SetSlidingExpiration(TimeSpan.FromMinutes(3))                      );"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Authorization.Core\Authorization.Core.csproj,File,Authorization.Core\AuthorizationManager.cs,340,16,M:System.TimeSpan.FromMinutes(System.Double),,,,,"roleClaimCache.Set(                      roleId, hashSet,                      new MemoryCacheEntryOptions().SetSlidingExpiration(TimeSpan.FromMinutes(3))                      );"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,Authorization.Core.Tests\Authorization.Core.Tests.csproj,File,Authorization.Core.Tests\Authorization.Core.Tests.csproj,,,xunit 2.9.3,,,,,"xunit, 2.9.3  Recommendation:  Guide for migrating from xUnit.net v2 to v3: https://xunit.net/docs/getting-started/v3/migration Remove xunit, and replace with new package xunit, 2.9.3"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Authorization.Core.Tests\Authorization.Core.Tests.csproj,File,Authorization.Core.Tests\Authorization.Core.Tests.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net9.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Authorization.Core.UI\Authorization.Core.UI.csproj,File,Authorization.Core.UI\Authorization.Core.UI.csproj,,,Microsoft.AspNetCore.Identity.UI 8.0.14,,,,,"Microsoft.AspNetCore.Identity.UI, 8.0.14  Recommendation:  Remove Microsoft.AspNetCore.Identity.UI, and replace with new package Microsoft.AspNetCore.Identity.UI 9.0.12"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Authorization.Core.UI\Authorization.Core.UI.csproj,File,Authorization.Core.UI\Authorization.Core.UI.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net9.0
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Authorization.Core.UI\Authorization.Core.UI.csproj,File,Authorization.Core.UI\IdentityBuilderExtensions.cs,145,12,P:Microsoft.AspNetCore.Identity.UI.UIFrameworkAttribute.UIFramework,,,,,var metadata = assembly?.GetCustomAttributes<UIFrameworkAttribute>()                  .SingleOrDefault()?.UIFramework;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Authorization.Core.UI\Authorization.Core.UI.csproj,File,Authorization.Core.UI\IdentityBuilderExtensions.cs,145,12,T:Microsoft.AspNetCore.Identity.UI.UIFrameworkAttribute,,,,,var metadata = assembly?.GetCustomAttributes<UIFrameworkAttribute>()                  .SingleOrDefault()?.UIFramework;
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Authorization.Core.UI.Test.Web\Authorization.Core.UI.Test.Web.csproj,File,Authorization.Core.UI.Test.Web\Authorization.Core.UI.Test.Web.csproj,,,Microsoft.AspNetCore.Diagnostics.EntityFrameworkCore 8.0.14,,,,,"Microsoft.AspNetCore.Diagnostics.EntityFrameworkCore, 8.0.14  Recommendation:  Remove Microsoft.AspNetCore.Diagnostics.EntityFrameworkCore, and replace with new package Microsoft.AspNetCore.Diagnostics.EntityFrameworkCore 9.0.12"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Authorization.Core.UI.Test.Web\Authorization.Core.UI.Test.Web.csproj,File,Authorization.Core.UI.Test.Web\Authorization.Core.UI.Test.Web.csproj,,,Microsoft.AspNetCore.Identity.EntityFrameworkCore 8.0.14,,,,,"Microsoft.AspNetCore.Identity.EntityFrameworkCore, 8.0.14  Recommendation:  Remove Microsoft.AspNetCore.Identity.EntityFrameworkCore, and replace with new package Microsoft.AspNetCore.Identity.EntityFrameworkCore 9.0.12"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Authorization.Core.UI.Test.Web\Authorization.Core.UI.Test.Web.csproj,File,Authorization.Core.UI.Test.Web\Authorization.Core.UI.Test.Web.csproj,,,Microsoft.AspNetCore.Identity.UI 8.0.14,,,,,"Microsoft.AspNetCore.Identity.UI, 8.0.14  Recommendation:  Remove Microsoft.AspNetCore.Identity.UI, and replace with new package Microsoft.AspNetCore.Identity.UI 9.0.12"
